allergy_alternative,antibiotic_criteria_source_ready,antibiotic_gate_id,antibiotic_gate_ready,avoid_if,bacterial_criteria_required,criteria_text,disease_key,duration_rule,final_antibiotic_status,gate_logic,generic_name,guideline_next_action,line_of_therapy,major_interactions,no_antibiotic_source_ready,not_for_viral_use,pediatric_caution,pregnancy_caution,product_id,red_flag_source_ready,renal_caution,source_ids,missing_fields
,False,abx_eaf248ecd619,False,,True,,bacterial_sinusitis_peds,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001047,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ab24f1b8680f,False,,True,,bacterial_pharyngitis_peds,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ed8e6a243791,False,,True,,macrolide_respiratory_bacterial_adult,,source_missing_hide_from_rx,,Roxithromycin,,,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_a3cccd1a8a41,False,,True,,dental_infection_support_adult,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_e0ba03169c25,False,,True,,infected_insect_bite_adult,,source_missing_hide_from_rx,,Amoxicillin,,,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_920a5c09e053,False,,True,,infected_insect_bite_peds,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001046,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_1231b4d17e12,False,,True,,cellulitis_mild_adult,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_f5e3badabcf0,False,,True,,impetigo_oral_antibiotic_adult,,source_missing_hide_from_rx,,Amoxicillin,,,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_bc9b79a79bfc,False,,True,,impetigo_oral_antibiotic_adult,,source_missing_hide_from_rx,,Fusidic acid,,,,False,False,,,BDS001991,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_23b40b8aba90,False,,True,,localized_folliculitis_adult,,source_missing_hide_from_rx,,Amoxicillin,,,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_6d3c3e8958d8,False,,True,,infected_abrasion_adult,,source_missing_hide_from_rx,,Amoxicillin,,,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_9dd66c263a28,False,,True,,infected_eczema_localized_adult,,source_missing_hide_from_rx,,Fusidic acid + Hydrocortisone Acetate + อื่นๆ,,,,False,False,,,BDS001910,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_c4d398832b8a,False,,True,,infected_eczema_localized_adult,,source_missing_hide_from_rx,,Fusidic acid + Betamethasone Valerate + Preservative,,,,False,False,,,BDS001908,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_d48a4137b021,False,,True,,uncomplicated_uti_adult,,source_missing_hide_from_rx,,Norfloxacin,,,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_5b07d2d681f4,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",,,False,False,,,BDS001437,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_775bcb27d0ff,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid + Preservative,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",,,False,False,,,BDS001847,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_c87a92d81f44,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Oxytetracycline HCl + Polymyxin B Sulfate 10 + s,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",,,False,False,,,BDS003721,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_1d46aee43399,False,,True,,infected_wound_oral_antibiotic_adult,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_c1278ca9016f,False,,True,,infected_wound_oral_antibiotic_adult,,source_missing_hide_from_rx,,Povidone-Iodine USP w/v,,,,False,False,,,BDS001238,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_daa974f861f1,False,,True,,penicillin_allergy_resp_support_adult,,source_missing_hide_from_rx,,Roxithromycin,,,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_13671b4f5bff,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_9c20506d9ff6,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_be18a9a55fc7,False,,True,,topical_fusidic_support_adult,,source_missing_hide_from_rx,,Gentamicin,,,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2dca3bce3b6c,False,,True,,vaginal_mixed_infection_adult,,source_missing_hide_from_rx,,Nystatin 100 + s + Chloramphenicol + Diiodohydroxyguin,,,,False,False,,,BDS008491,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_134a5fdee75a,False,,True,,vaginal_discharge_support_adult,,source_missing_hide_from_rx,,Nystatin 100 + s + Chloramphenicol + Diiodohydroxyguin,,,,False,False,,,BDS008491,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_f5c42db0ed90,False,,True,,uncomplicated_uti_alt_cipro_adult,,source_missing_hide_from_rx,,Ciprofloxacin,,,,False,False,,,BDS001496,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2040083b1dd2,False,,True,,dysuria_lower_uti_adult,,source_missing_hide_from_rx,,Norfloxacin,,,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_bdfd7d0870d6,False,,True,,frequency_urgency_uti_adult,,source_missing_hide_from_rx,,Norfloxacin,,,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_11f5e118c640,False,,True,,dental_abscess_support_adult,,source_missing_hide_from_rx,,Amoxicillin + Clavulanic Acid,,,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
