input_phrase,normalized_phrase,disease_key,diagnosis,icd10,category,population,priority,match_type,rx_now_rows,swap_rows,restricted_rows,antibiotic_rows_present,runtime_policy,red_flags,notes
mosquito bite itchy,mosquito_bite_itchy,insect_bite_sting_local_reaction,Insect bite/sting local inflammatory or allergic reaction,,Skin/allergy-inflammatory,adult,1,semantic,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
insect bite swelling,insect_bite_swelling,insect_bite_swelling_adult,Insect bite with localized swelling,,Skin/allergy-inflammatory,adult,1,exact,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
swollen mosquito bite,swollen_mosquito_bite,insect_bite_swelling_adult,Insect bite with localized swelling,,Skin/allergy-inflammatory,adult,2,alias,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
bug bite swelling,bug_bite_swelling,insect_bite_swelling_adult,Insect bite with localized swelling,,Skin/allergy-inflammatory,adult,3,alias,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eczema,eczema,itchy_dermatitis_adult,Dermatitis / eczema flare,,Skin/allergy-inflammatory,adult,1,exact,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy dermatitis,itchy_dermatitis,itchy_dermatitis_adult,Dermatitis / eczema flare,,Skin/allergy-inflammatory,adult,2,alias,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dermatitis,dermatitis,itchy_dermatitis_adult,Dermatitis / eczema flare,,Skin/allergy-inflammatory,adult,3,alias,3,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
localized itchy rash,localized_itchy_rash,itchy_localized_rash_adult,Localized itchy rash NOS,,Skin/allergy-inflammatory,adult,1,exact,4,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy patch,itchy_patch,itchy_localized_rash_adult,Localized itchy rash NOS,,Skin/allergy-inflammatory,adult,2,alias,4,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy skin patch,itchy_skin_patch,itchy_localized_rash_adult,Localized itchy rash NOS,,Skin/allergy-inflammatory,adult,3,alias,4,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
topical joint pain,topical_joint_pain,joint_pain_topical_support_adult,Joint pain topical support,,Pain,adult,1,exact,4,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
joint pain spray,joint_pain_spray,joint_pain_topical_support_adult,Joint pain topical support,,Pain,adult,2,alias,4,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
local joint pain,local_joint_pain,joint_pain_topical_support_adult,Joint pain topical support,,Pain,adult,3,alias,4,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
knee pain,knee_pain,knee_joint_pain_adult,Knee / localized joint pain,,Pain,adult,1,exact,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
joint pain knee,joint_pain_knee,knee_joint_pain_adult,Knee / localized joint pain,,Pain,adult,2,alias,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
localized joint pain,localized_joint_pain,knee_joint_pain_adult,Knee / localized joint pain,,Pain,adult,3,alias,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
laryngitis,laryngitis,laryngitis_irritation_adult,Laryngitis / voice irritation,,ENT/throat,adult,1,exact,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
hoarse voice,hoarse_voice,laryngitis_irritation_adult,Laryngitis / voice irritation,,ENT/throat,adult,2,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
voice irritation,voice_irritation,laryngitis_irritation_adult,Laryngitis / voice irritation,,ENT/throat,adult,3,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
itchy eczema child,itchy_eczema_child,localized_eczema_peds,Pediatric localized eczema support,,Skin/allergy-inflammatory,pediatric,2,alias,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
localized eczema child,localized_eczema_child,localized_eczema_peds,Pediatric localized eczema support,,Skin/allergy-inflammatory,pediatric,3,alias,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sensitive area eczema,sensitive_area_eczema,localized_eczema_sensitive_area_adult,Localized eczema (sensitive-area cautious row),,GU/UTI,adult,1,exact,3,4,0,NO,rx_now_plus_swaps,"Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval | Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
mild eczema patch,mild_eczema_patch,localized_eczema_sensitive_area_adult,Localized eczema (sensitive-area cautious row),,GU/UTI,adult,2,alias,3,4,0,NO,rx_now_plus_swaps,"Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval | Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small eczema patch,small_eczema_patch,localized_eczema_sensitive_area_adult,Localized eczema (sensitive-area cautious row),,GU/UTI,adult,3,alias,3,4,0,NO,rx_now_plus_swaps,"Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval | Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
folliculitis,folliculitis,localized_folliculitis_adult,Localized folliculitis,,Skin/wound-infection,adult,1,exact,1,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
infected hair follicle,infected_hair_follicle,localized_folliculitis_adult,Localized folliculitis,,Skin/wound-infection,adult,2,alias,1,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small pustule folliculitis,small_pustule_folliculitis,localized_folliculitis_adult,Localized folliculitis,,Skin/wound-infection,adult,3,alias,1,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
localized muscle ache,localized_muscle_ache,localized_muscle_ache_support_adult,Localized muscle ache support,,Pain,adult,1,exact,4,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
muscle ache topical,muscle_ache_topical,localized_muscle_ache_support_adult,Localized muscle ache support,,Pain,adult,2,alias,4,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
muscle pain local,muscle_pain_local,localized_muscle_ache_support_adult,Localized muscle ache support,,Pain,adult,3,alias,4,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
low back pain,low_back_pain,low_back_pain_over16,Low back pain over 16,,Pain,adult,1,exact,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
back strain,back_strain,low_back_pain_over16,Low back pain over 16,,Pain,adult,1,semantic,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
simple back pain,simple_back_pain,low_back_pain_simple_adult,Simple low back pain,,Pain,adult,2,alias,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
mechanical back pain,mechanical_back_pain,low_back_pain_simple_adult,Simple low back pain,,Pain,adult,3,alias,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
roxithromycin option,roxithromycin_option,macrolide_respiratory_bacterial_adult,Respiratory bacterial row (macrolide-style alternative),,general,adult,1,exact,1,0,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
b roxi support,b_roxi_support,macrolide_respiratory_bacterial_adult,Respiratory bacterial row (macrolide-style alternative),,general,adult,2,alias,1,0,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
macrolide respiratory bacterial,macrolide_respiratory_bacterial,macrolide_respiratory_bacterial_adult,Respiratory bacterial row (macrolide-style alternative),,general,adult,3,alias,1,0,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
menopause,menopause,menopause_vasomotor_adult,Menopause-associated vasomotor symptoms,,Chronic/review,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
perimenopause,perimenopause,menopause_vasomotor_adult,Menopause-associated vasomotor symptoms,,Chronic/review,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
hot flush,hot_flush,menopause_vasomotor_adult,Menopause-associated vasomotor symptoms,,Chronic/review,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
hot flashes,hot_flashes,menopause_vasomotor_adult,Menopause-associated vasomotor symptoms,,Chronic/review,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
night sweats menopause,night_sweats_menopause,menopause_vasomotor_adult,Menopause-associated vasomotor symptoms,,Chronic/review,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
migraine,migraine,migraine_adult,Migraine,,Pain,adult,1,exact,1,7,0,NO,rx_now_plus_swaps,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
one-sided headache,one_sided_headache,migraine_adult,Migraine,,Pain,adult,2,alias,1,7,0,NO,rx_now_plus_swaps,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
migraine prevention adult,migraine_prevention_adult,migraine_adult_prevention_review,Adult episodic migraine prevention review,,Pain,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
frequent migraine adult,frequent_migraine_adult,migraine_adult_prevention_review,Adult episodic migraine prevention review,,Pain,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
migraine over 12,migraine_over_12,migraine_over12_acute,Acute migraine with or without aura,,Pain,adult,1,exact,1,7,0,NO,rx_now_plus_swaps,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
migraine prevention,migraine_prevention,migraine_over12_prevention_review,Migraine prevention review,,Pain,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
frequent migraine,frequent_migraine,migraine_over12_prevention_review,Migraine prevention review,,Pain,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
migraine child,migraine_child,migraine_peds_acute,"Migraine, acute attack in child/adolescent",,Pain,pediatric,1,exact,1,1,0,NO,pediatric_gate_required,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
pediatric migraine,pediatric_migraine,migraine_peds_acute,"Migraine, acute attack in child/adolescent",,Pain,pediatric,1,exact,1,1,0,NO,pediatric_gate_required,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
child headache migraine,child_headache_migraine,migraine_peds_acute,"Migraine, acute attack in child/adolescent",,Pain,pediatric,1,semantic,1,1,0,NO,pediatric_gate_required,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
adolescent migraine,adolescent_migraine,migraine_peds_acute,"Migraine, acute attack in child/adolescent",,Pain,pediatric,1,exact,1,1,0,NO,pediatric_gate_required,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
migraine prevention child,migraine_prevention_child,migraine_peds_prevention_review,Pediatric migraine prevention review,,Pain,pediatric,1,exact,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
frequent migraine child,frequent_migraine_child,migraine_peds_prevention_review,Pediatric migraine prevention review,,Pain,pediatric,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
medication overuse headache child,medication_overuse_headache_child,migraine_peds_prevention_review,Pediatric migraine prevention review,,Pain,pediatric,1,red_flag,0,0,0,NO,restricted_only_show_safety_line,"Thunderclap, neuro deficit, meningism, new severe headache → ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
mild wet cough support,mild_wet_cough_support,mild_mucolytic_support_adult,Mild wet cough / sputum support,,ENT/URI-cough,adult,1,exact,5,9,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
mucolytic support,mucolytic_support,mild_mucolytic_support_adult,Mild wet cough / sputum support,,ENT/URI-cough,adult,2,alias,5,9,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
phlegm support,phlegm_support,mild_mucolytic_support_adult,Mild wet cough / sputum support,,ENT/URI-cough,adult,3,alias,5,9,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
minor burn,minor_burn,minor_burn_adult,Acute minor superficial burn,,Wound/burn,adult,1,exact,3,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small burn,small_burn,minor_burn_adult,Acute minor superficial burn,,Wound/burn,adult,2,alias,3,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
superficial burn,superficial_burn,minor_burn_adult,Acute minor superficial burn,,Wound/burn,adult,3,alias,3,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
minor cut care,minor_cut_care,minor_cut_wound_care_adult,Minor cut / wound care,,Wound/burn,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small cut support,small_cut_support,minor_cut_wound_care_adult,Minor cut / wound care,,Wound/burn,adult,2,alias,2,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small wound care,small_wound_care,minor_cut_wound_care_adult,Minor cut / wound care,,Wound/burn,adult,3,alias,2,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
minor skin infection,minor_skin_infection,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),,general,adult,1,exact,1,0,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small infected wound,small_infected_wound,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),,general,adult,2,alias,1,0,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
minor wound care,minor_wound_care,minor_wound_care_adult,Minor wound care support,,Wound/burn,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
abrasion care,abrasion_care,minor_wound_care_adult,Minor wound care support,,Wound/burn,adult,2,alias,2,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
small wound support,small_wound_support,minor_wound_care_adult,Minor wound care support,,Wound/burn,adult,3,alias,2,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
muscle cramp,muscle_cramp,muscle_cramps_adult,"Muscle cramps, benign/recurrent",,GI/GERD-dyspepsia,adult,1,exact,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
leg cramps,leg_cramps,muscle_cramps_adult,"Muscle cramps, benign/recurrent",,GI/GERD-dyspepsia,adult,1,exact,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nocturnal leg cramp,nocturnal_leg_cramp,muscle_cramps_adult,"Muscle cramps, benign/recurrent",,GI/GERD-dyspepsia,adult,1,exact,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
calf cramp,calf_cramp,muscle_cramps_adult,"Muscle cramps, benign/recurrent",,GI/GERD-dyspepsia,adult,1,exact,3,7,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
muscle spasm,muscle_spasm,muscle_spasm_adult,Muscle spasm,,Pain,adult,1,exact,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
tight muscle,tight_muscle,muscle_spasm_adult,Muscle spasm,,Pain,adult,2,alias,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
spasm,spasm,muscle_spasm_adult,Muscle spasm,,Pain,adult,3,alias,2,6,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
muscle pain,muscle_pain,musculoskeletal_pain_adult,Musculoskeletal pain / strain,,Pain,adult,1,alias,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
neck pain,neck_pain,musculoskeletal_pain_adult,Musculoskeletal pain / strain,,Pain,adult,2,alias,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
back pain,back_pain,musculoskeletal_pain_adult,Musculoskeletal pain / strain,,Pain,adult,2,alias,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sprain,sprain,musculoskeletal_pain_adult,Musculoskeletal pain / strain,,Pain,adult,3,alias,2,5,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nasal blockage,nasal_blockage,nasal_blockage_adult,Nasal blockage / congestion,,ENT/rhinitis,adult,2,alias,1,0,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
stuffy nose,stuffy_nose,nasal_blockage_adult,Nasal blockage / congestion,,ENT/rhinitis,adult,3,alias,1,0,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nasal dryness,nasal_dryness,nasal_dryness_irritation_adult,Nasal dryness / irritation,,ENT/rhinitis,adult,1,exact,1,0,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
